Fecha,Año,Mes,IPC,pi_t,TPM_obs,TC_obs,var_tc,PIB_obs,var_pib
2012-03-01,2012,3,80.05284734576756,4.944763374981887,6.75,38.99438181818181,3.260744328036269,69.66700505802329,2.981901941701224
2012-04-01,2012,4,80.06020717360114,4.045911047345752,6.75,39.01755555555556,3.124755748714425,70.53350688068366,2.338158329263408
2012-05-01,2012,5,79.84677216642754,3.5407520519183056,6.75,39.02215217391304,2.985098089733662,70.53350688068366,2.338158329263408
2012-06-01,2012,6,80.01604820659972,2.711384034010411,6.0,39.06535,2.7098138378219616,70.53350688068366,2.338158329263408
2012-07-01,2012,7,79.85413199426112,1.6393442622950838,6.0,39.08068636363636,2.723758155105749,68.33762449982007,3.053034090915886
2012-08-01,2012,8,80.66371305595408,2.162565249813575,5.5,39.11087272727273,2.7557934239288207,68.33762449982007,3.053034090915886
2012-09-01,2012,9,81.18626083213772,2.604408892196064,5.0,39.20463157894737,2.777230661608887,68.33762449982007,3.053034090915886
2012-10-01,2012,10,81.37761635581059,2.817556258136489,5.0,39.42833913043479,2.9457095865935035,71.48287197894888,2.7441933104243645
2012-11-01,2012,11,81.89280430416066,3.372352285395741,5.0,39.935452380952384,3.885907870861716,71.48287197894888,2.7441933104243645
2012-12-01,2012,12,82.40799225251074,3.906829992576077,5.0,40.170405,4.210585709612769,71.48287197894888,2.7441933104243645
2013-01-01,2013,1,83.44572797704444,4.758384921001557,5.0,40.57556190476191,4.41914462092361,70.96030540057767,1.85640295786682
2013-02-01,2013,2,83.71804160688663,4.732529233035621,5.0,40.74175263157895,4.620239939764925,70.96030540057767,1.85640295786682
2013-03-01,2013,3,84.03451420373024,4.973797922221168,5.0,40.99115263157895,5.12066282447412,70.96030540057767,1.85640295786682
2013-04-01,2013,4,83.98299540889522,4.89979775694056,5.0,41.05268095238095,5.215922340208268,73.4678868772533,4.16026386088177
2013-05-01,2013,5,83.82843902439019,4.986634712876703,5.0,41.09490909090909,5.31174423122085,73.4678868772533,4.16026386088177
2013-06-01,2013,6,83.85787833572448,4.801324503311188,4.25,41.46258,6.136461083799327,73.4678868772533,4.16026386088177
2013-07-01,2013,7,84.38042611190812,5.668202764976882,4.25,41.90765652173913,7.2336758157175,72.72742287407593,6.423691789677903
2013-08-01,2013,8,84.93977302725962,5.301094890510893,4.25,42.37237142857143,8.339110006676975,72.72742287407593,6.423691789677903
2013-09-01,2013,9,85.35192338593968,5.130994470129591,6.25,42.61365,8.695448174759157,72.72742287407593,6.423691789677903
2013-10-01,2013,10,85.23416614060253,4.7390793162702005,6.25,42.438960869565214,7.635679832140152,76.68368238747742,7.275603602021107
