Unnamed: 0,Banco Central de la República Dominicana,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,Departamento de Cuentas Nacionales y Estadísticas Económicas,,,,,,,,,,,,,,
Indicador Mensual de Actividad Económica (IMAE),,,,,,,,,,,,,,,
Índices de volumen encadenados (promedio 2018 = 100),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Período,,Serie Original,,,,Serie Desestacionalizada,,,,,Serie Tendencia-Ciclo,,,,
,,Índice,Variación porcentual (%),,,Índice,Variación porcentual (%),,,,Índice,,Variación porcentual (%),,
,,,Interanual,Acumulada,Promedio 12 meses,,Respecto al período anterior,Interanual,Acumulada,Promedio 12 meses,,Respecto al período anterior,Interanual,Acumulada,Promedio 12 meses
,Abril,63.92988012,14.448620877326945,10.035102441215727,,61.3345569508754,2.137771964978768,15.439713449598074,10.17295218689651,,61.1800696812581,0.15275171280919153,7.613261659833199,8.495980956249994,
,Mayo,62.97404143,3.887271798561784,8.727575166112246,,61.7127401324496,0.6165907122751264,3.8062477257604144,8.824926501572321,,61.1049980058371,-0.12270609662935783,6.299434516786718,8.048760279242728,
,Junio,61.05015591,6.270052438601525,8.315328260472327,,61.1395721680343,-0.9287676469804325,6.348140190638915,8.403990456816786,,60.8427032288658,-0.4292525743086486,4.410749185700951,7.426354645010932,
,Julio,61.89969489,5.145846942600201,7.850409204195373,,61.9477232821901,1.3218134924704685,5.424248712051025,7.962990585723958,,60.4128913634131,-0.706431244246204,2.186973358702545,6.651446072521978,
,Agosto,57.69629758,-3.077615177654721,6.438869290445965,,59.1710142674537,-4.482342316420045,-2.9805598910335362,6.505775300584915,,59.9381074040874,-0.7858984210334228,0.08774300717048789,5.796223720481763,
,Septiembre,54.62506714,-4.5222764128878055,5.2284035937582445,,58.5794179495229,-0.9998076342865829,-4.308843860544158,5.230751149579447,,59.5040275555939,-0.7242134716851183,-1.615505865145181,4.934322295258056,
,Octubre,60.37130376,-0.12389813687640583,4.669174693410412,,60.2502223199838,2.852203775566025,0.011884882604334734,4.688195463536985,,59.1979437924627,-0.5143916734799632,-2.654006254268239,4.1399409538805685,
,Noviembre,57.2469047,-5.830406277598925,3.6707863878863094,,57.3838930986359,-4.757375343986396,-6.038473223763248,3.6654908110351556,,59.0775850825707,-0.20331569338617328,-2.9686079523151108,3.465571329935642,
,Diciembre,60.66390093,-0.9360829258414896,3.2680867170299592,,59.3342914657374,3.3988603104167225,-1.1019876996476796,3.257200359098661,,59.0551343885265,-0.038002051053410923,-2.9193388811294483,2.9127838903406484,
Promedio 2008,,60.287092574999996,3.2680867170299592,3.2680867170299592,3.2680867170299592,60.28049606498404,,3.257200359098661,3.257200359098661,3.257200359098661,60.25729683589726,,2.91278389034062,2.9127838903406484,2.9127838903406484
,Enero,58.06515475,-3.5730881594338513,-3.5730881594338513,2.055880428641842,59.4517245201283,0.19791768215300465,-3.386868435191232,-3.386868435191232,2.048218804503236,59.0611572270081,0.01019867035097377,-2.8496765652023157,-2.8496765652023157,1.9264750170685971
,Febrero,58.52408183,-3.5167451620555,-3.5448139979225743,1.0674166851078581,58.7072278508131,-1.2522709396985476,-3.641512452347129,-3.513556220428555,1.0576041626694206,59.1196341076046,0.099010726071171,-2.9134858701596045,-2.881607485465068,0.9700888527965077
,Marzo,61.15812783,-1.538692962805868,-2.86385113353694,0.4484318357395978,59.0183023014093,0.5298741943440319,-1.7193862336118144,-2.92323312346241,0.4434956649008228,59.2778249819613,0.26757755988269594,-2.9612532574081314,-2.90822669466597,0.05232173235285131
,Abril,62.52247358,-2.201484716314525,-2.692356752993348,-0.8674114158426107,60.1359720226046,1.8937679967263392,-1.9541755706017057,-2.679487263849296,-0.8618221421362193,59.5904481505756,0.527386368695943,-2.5982669502736258,-2.8304934111303908,-0.7679577367716064
,Mayo,60.59680802,-3.7749417950926016,-2.9123521138734816,-1.51712211127726,59.1532412286494,-1.6341812743723523,-4.147440055824674,-2.9759640378674277,-1.523980421941701,60.0370895233058,0.7495183986561358,-1.7476614309508562,-2.6135963214289575,-1.4105828366646307
,Junio,60.76907046,-0.4604172517010028,-2.50880916359381,-2.042269046920083,60.9119934757892,2.973213657627923,-0.37222813993467696,-2.5418446937743795,-2.048209994009511,60.5318898680342,0.8241577808936142,-0.5108473889834357,-2.2639481263896073,-1.801398249949031
