Año,Mes,Fecha,IPC,Var_Mensual,pi_t
2015,6,2015-06-01,118.86,0.405473897617847,0.6179632608143582
2015,7,2015-07-01,119.15,0.243984519602902,0.49763832658569207
2015,8,2015-08-01,119.53,0.318925723877461,0.4284994118635588
2015,9,2015-09-01,119.72,0.158955910650049,0.39412997903562896
2015,10,2015-10-01,120.61,0.743401269629129,1.2253462022660422
2015,11,2015-11-01,120.81,0.16582372937568,1.5380736258194583
2015,12,2015-12-01,120.92,0.0910520652263935,2.3444773592890433
2016,1,2016-01-01,120.91,-0.00826993053258951,2.526922750784344
2016,2,2016-02-01,120.23,-0.562401786452726,1.7432512482017382
2016,3,2016-03-01,120.22,-0.00831739166597956,1.5886428933581165
2016,4,2016-04-01,120.11,-0.0914989186491466,1.7536428329379738
2016,5,2016-05-01,120.41,0.249771043210378,1.7148166920087915
2016,6,2016-06-01,121.13,0.597956980317238,1.9098098603398839
2016,7,2016-07-01,121.36,0.189878642780483,1.8548048678136642
2016,8,2016-08-01,121.29,-0.06,1.472433698653064
2016,9,2016-09-01,121.34,0.04122351389233,1.3531573671901054
2016,10,2016-10-01,121.71,0.304928300642815,0.9120305115662086
2016,11,2016-11-01,121.87,0.131460027935271,0.8774108103633882
2016,12,2016-12-01,122.97,0.9,1.695335759179617
2017,1,2017-01-01,123.73,0.618036919573894,2.332313290877508
2017,2,2017-02-01,124.25,0.420269942616991,3.3435914497213615
2017,3,2017-03-01,124.0,-0.2,3.144235568125109
2017,4,2017-04-01,124.33,0.266129032258067,3.5134460078261487
2017,5,2017-05-01,124.15,-0.14477599935655,3.1060543144257213
2017,6,2017-06-01,124.22,0.0563834071687364,2.5509782877899845
2017,7,2017-07-01,124.44,0.177105136048938,2.53790375741596
2017,8,2017-08-01,125.15,0.570556091288976,3.1824552724874167
2017,9,2017-09-01,125.95,0.639232920495414,3.7992417999010986
2017,10,2017-10-01,125.95,0.0,3.4836907402842954
2017,11,2017-11-01,126.91,0.762207225089306,4.135554279149911
2017,12,2017-12-01,128.14,0.969190765109129,4.2042774660486115
2018,1,2018-01-01,128.51,0.288746683315133,3.8632506263638566
2018,2,2018-02-01,128.37,-0.11,3.3158953722334017
2018,3,2018-03-01,128.85,0.373919139985968,3.9112903225806406
2018,4,2018-04-01,129.36,0.395809080325971,4.045684870908084
2018,5,2018-05-01,129.7,0.262832405689539,4.470398711236401
2018,6,2018-06-01,129.97,0.20817270624518,4.628884237642894
2018,7,2018-07-01,129.95,-0.0153881664999744,4.427836708453858
2018,8,2018-08-01,129.99,0.0307810696421829,3.8673591689972087
2018,9,2018-09-01,130.09,0.0769289945380391,3.2870186581976935
2018,10,2018-10-01,130.38,0.222922592051655,3.517268757443426
2018,11,2018-11-01,129.92,-0.352814848903216,2.371759514616656
2018,12,2018-12-01,129.64,-0.22,1.1705946620883312
2019,1,2019-01-01,129.42,-0.169700709657516,0.708116099914391
2019,2,2019-02-01,129.9,0.370885489105244,1.1918672587053036
2019,3,2019-03-01,130.75,0.654349499615092,1.4745828482731982
2019,4,2019-04-01,131.44,0.527724665391971,1.607915893630163
2019,5,2019-05-01,131.4,-0.0304321363359672,1.3107170393215295
2019,6,2019-06-01,131.16,-0.182648401826491,0.9155959067477015
2019,7,2019-07-01,131.77,0.465080817322372,1.4005386687187649
2019,8,2019-08-01,132.22,0.341504135994519,1.7155165781983062
2019,9,2019-09-01,132.72,0.378157616094388,2.0216773003305377
2019,10,2019-10-01,133.61,0.67058468957204,2.4773738303421
2019,11,2019-11-01,134.11,0.37422348626599,3.225061576354693
2019,12,2019-12-01,134.38,0.201327268660045,3.656278926257328
2020,1,2020-01-01,134.82,0.327429677035274,4.172461752433931
2020,2,2020-02-01,134.65,-0.126094051327685,3.656658968437254
2020,3,2020-03-01,133.95,-0.519866320089135,2.4474187380497003
2020,4,2020-04-01,132.85,-0.821201941022764,1.0727328058429686
2020,5,2020-05-01,132.7,-0.112909296198727,0.9893455098934467
2020,6,2020-06-01,134.96,1.7,2.8972247636474657
2020,7,2020-07-01,137.5,1.88203912270302,4.34848599833042
2020,8,2020-08-01,138.57,0.778181818181811,4.802601724398725
2020,9,2020-09-01,139.4,0.598975247167499,5.033152501506932
2020,10,2020-10-01,103.276,0.662793871106082,-22.703390464785578
2020,11,2020-11-01,103.893,0.597428250513188,-22.531503989262557
2020,12,2020-12-01,104.394,0.482226906528838,-22.31433248995386
2021,1,2021-01-01,105.404,0.967488552981965,-21.818721257973593
2021,2,2021-02-01,106.124,0.683086030890667,-21.1852952098032
2021,3,2021-03-01,106.764,0.603068109004568,-20.295632698768195
2021,4,2021-04-01,107.206,0.413997227529883,-19.30297327813323
2021,5,2021-05-01,107.901,0.648284610935956,-18.688018085908066
2021,6,2021-06-01,108.59,0.63,-19.539122703023114
2021,7,2021-07-01,109.168,0.536906570889184,-20.605090909090904
2021,8,2021-08-01,110.04,0.8,-20.588872050227312
2021,9,2021-09-01,110.54,0.45,-20.703012912482066
2021,10,2021-10-01,111.24,0.64,7.711375343739113
2021,11,2021-11-01,112.446,1.08050771277552,8.232508446189835
2021,12,2021-12-01,113.263,0.726570976290852,8.495698986531796
2022,1,2022-01-01,114.602,1.18220425028472,8.726424044628288
2022,2,2022-02-01,115.658,0.921449887436521,8.983830236327318
2022,3,2022-03-01,116.431,0.668349789897804,9.054550222921588
2022,4,2022-04-01,117.54,0.96,9.639385855269289
2022,5,2022-05-01,118.12,0.49,9.47071852902197
2022,6,2022-06-01,118.877,0.63916967203399,9.473247997053136
2022,7,2022-07-01,119.47,0.5,9.436831305877181
2022,8,2022-08-01,119.72,0.21,8.796801163213374
2022,9,2022-09-01,120.07,0.294024290415806,8.621313551655497
2022,10,2022-10-01,120.405,0.279003914383291,8.238942826321471
2022,11,2022-11-01,120.966,0.465927494705354,7.576970279067274
2022,12,2022-12-01,122.128,0.960600499313857,7.826916115589366
2023,1,2023-01-01,122.9,0.63,7.24071133139037
2023,2,2023-02-01,123.04,0.11,6.382610800809285
2023,3,2023-03-01,123.3,0.21,5.899631541427963
2023,4,2023-04-01,123.6,0.244122012343961,5.155691679428265
2023,5,2023-05-01,123.36,-0.2,4.436166610226877
2023,6,2023-06-01,123.627,0.219689354388919,3.9957266754712784
2023,7,2023-07-01,124.1884,0.454107921408764,3.9494433749058366
2023,8,2023-08-01,124.8282,0.52,4.266789174741059
2023,9,2023-09-01,125.3654,0.430351475067337,4.410260681269262
2023,10,2023-10-01,125.6376,0.217125299325027,4.345832814251893
2023,11,2023-11-01,125.8094,0.136742503836418,4.003934989997182
2023,12,2023-12-01,126.4866,0.538274564539698,3.5688785536486245
2024,1,2024-01-01,126.98,0.39,3.31977217249797
2024,2,2024-02-01,127.0946,0.0905657286682127,3.29535110533159
2024,3,2024-03-01,127.4728,0.297573618391356,3.3842660178426742
2024,4,2024-04-01,127.3478,-0.0980601351817767,3.032200647249206
2024,5,2024-05-01,127.2987,-0.0385558289974441,3.1928501945525323
2024,6,2024-06-01,127.9079,0.478559482539875,3.46275489981962
2024,7,2024-07-01,128.5831,0.527879826031086,3.538736307094714
2024,8,2024-08-01,129.1021,0.403630026029855,3.4238257060503985
2024,9,2024-09-01,129.49,0.3,3.2900624893311914
2024,10,2024-10-01,129.6056,0.0928289984816866,3.1582901933816077
2024,11,2024-11-01,129.8098,0.157554920466385,3.179730608364717
2024,12,2024-12-01,130.722,0.702720441754012,3.348496994938599
2025,1,2025-01-01,131.2004,0.365967472957873,3.32367301937313
2025,2,2025-02-01,131.6244,0.323169746433716,3.564116807480411
2025,3,2025-03-01,132.0373,0.313695636979139,3.580763896297867
2025,4,2025-04-01,132.0704,0.0250686737762962,3.708426843651802
2025,5,2025-05-01,132.1823,0.0847275392517943,3.8363314000849913
2025,6,2025-06-01,132.4552,0.206457294206563,3.555136156562644
2025,7,2025-07-01,132.95,0.38,3.396169481059319
2025,8,2025-08-01,133.9,0.71,3.7163609267393705
2025,9,2025-09-01,134.3483,0.33742480199257,3.751872731485051
2025,10,2025-10-01,135.0898,0.551923619428019,4.231452961909032
2025,11,2025-11-01,136.0551,0.714561721166218,4.811115955806122
2025,12,2025-12-01,137.1955,0.838189821623736,4.952112115787699
2026,1,2026-01-01,137.7394,0.396441574249873,4.983978707381986
2026,2,2026-02-01,137.7744,0.0254103038056064,4.672385970990178
2026,3,2026-03-01,138.15,0.27,4.629525141759205
