Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Banco Central de República Dominicana,,,,,,,,,,,,,,,,
Departamento de Programación Monetaria y Estudios Económicos,,,,,,,,,,,,,,,,
División de Encuestas Macroeconómicas,,,,,,,,,,,,,,,,
Encuesta de Expectativas Macroeconómicas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mediana de las expectativas,,,,,,,,,,,,,,,,
Año,Mes,Inflación,,,,Variación porcentual interanual implícita del tipo de cambio,,,,Crecimiento interanual del PIB real,,,Tasa de política monetaria (TPM),,,
,,Año actual,En 12 meses,Año siguiente,En 24 meses,Año actual,En 12 meses,Año siguiente,En 24 meses,Trimestre actual,Año actual,Año siguiente,Mes actual,Trimestre actual,Año actual,En 12 meses
2010,5,7,7.87,6.75,,5.03875968992249,5.28455284552847,4.15117046501163,,5,5.1,5.5,4,4,5,
2010,6,7,7,6.5,,5.20487264673313,5.22972972972973,4.12371134020619,,5,5.765,5.5,4,4,4.5,
2010,7,6.4,6,6,,4.37430786267996,4.60376628987214,4.12371134020619,,4.75,5.53,5.5,4,4,4.5,
2010,8,6.45,6.44,6,,4.69269102990034,4.47672064777328,3.71828968903437,,5,6,5,4,4,4.5,
2010,9,6,6.245,6,,4.37430786267996,4.10525896298872,3.47593582887702,,4.5,5.7,5.4,4,4,4.5,
2010,10,6.275,6.35,5.935,,4.55426356589148,4.16781606222827,3.92563081009297,,4.4,6,5.45,4.75,4.92,4.575,
2010,11,6.45,6.5,6.5,,4.23588039867111,4.1588981755118,4,,4.57,6.5,5.5,5,5.25,5.5,
2010,12,6,6,6.2,,3.66832779623477,4.13257073704835,4.13257073704835,,5.15,6.875,5.5,5,5,5,
2011,1,6.4,6.43,6,,4.55514118273841,4.05405405405406,2.79187817258884,,5,5.9,6,5,5.25,6,
2011,2,6.5,6.525,6.3,,4.80820458177943,3.43010303536619,2.89378129881004,,5,5.7,6.1,5,5.375,6,
